cycle_number,ambient_temp,capacity,voltage_avg,current_avg,temperature_avg
2,24,1.8550045207910817,3.5275462263272543,-1.9541761960216968,31.773285281389256
6,24,1.8431955317089987,3.534835576186522,-1.9474374301153292,31.924891594728642
10,24,1.8396018424355423,3.538246596159443,-1.9520511323479741,31.31691283374216
14,24,1.8306736044962053,3.537697945111872,-1.9460914562122762,30.821190751176527
17,24,1.8327002069419656,3.542667604586918,-1.9412796601390512,31.95346971511436
19,24,1.8285288846046388,3.5451037330477333,-1.9400338819083036,32.02311236185272
21,24,1.8212011895697924,3.5475142438631493,-1.9335667184847714,31.634533158077694
23,24,1.8151700106433282,3.544812433691423,-1.9332161326561408,31.288194921595714
26,24,1.8042980520967649,3.5434780274164095,-1.9325959489970461,31.11122470608501
29,24,1.8231002302844226,3.543133206790044,-1.9387520938161948,31.13166983979621
31,24,1.8121253520255494,3.545155146280937,-1.9319248326301843,31.51305775907457
33,24,1.8046916382117766,3.545032366549762,-1.9249594896453863,31.31102568785445
35,24,1.790844349786295,3.5440892170496827,-1.9179528942264992,30.893964711700164
38,24,1.783470722841926,3.541317108618481,-1.917373033348097,30.540598970902945
41,24,1.7809386125310702,3.541197979542517,-1.9180652422275581,30.82566018736547
43,24,1.771209039672698,3.541255460524434,-1.9106033469326071,31.451400678644536
45,24,1.7686303996707076,3.5427478949705886,-1.909404549449075,31.518847747922937
47,24,1.7536304801917124,3.541251093602656,-1.8960567702455413,31.11237289077096
50,24,1.7462197416415093,3.5350260562177453,-1.8948411660605735,30.586452588663985
53,24,1.7376647337053737,3.5326627624319777,-1.90021436299665,30.242913021104116
55,24,1.7315166735475835,3.5333109441755526,-1.8936767267608487,30.10270376338569
57,24,1.7085949894470602,3.52738705832889,-1.8739718829459886,30.251184852221932
59,24,1.711469957068211,3.5296025965720452,-1.8791764961687347,30.212407704391104
62,24,1.7075021373272627,3.5289707694229833,-1.8780560689384003,30.125011009636175
65,24,1.7492382064360228,3.5322741848919814,-1.8993718818269214,30.22428629982563
67,24,1.7327697147429955,3.532438322521663,-1.8926958551018211,30.976376254737342
69,24,1.7222313328292376,3.5363211310943603,-1.8783667048362822,31.41570291330098
71,24,1.711846298984729,3.533535274219931,-1.870834339681941,31.383299841535273
74,24,1.699267835126687,3.527012841842043,-1.8696567234639716,31.167937826253635
77,24,1.6940366439243106,3.52925730014011,-1.8623726014599724,30.994690437264207
79,24,1.6819027078768087,3.527821497534469,-1.8547843408980225,31.055317978554886
81,24,1.6769770618433686,3.525692957415014,-1.8538766950740675,31.373945543706103
83,24,1.6655229306478936,3.5243962482347273,-1.845735037450336,31.56128410753226
86,24,1.6571924575832084,3.520797576383474,-1.8382538558498933,31.318474723902874
89,24,1.6482241555294048,3.519457281260753,-1.8435676915974055,31.104012325043946
91,24,1.6387701497987262,3.513165600287965,-1.83704467002657,30.989730398009076
93,24,1.6276486907262062,3.517217159454334,-1.8211904293154166,30.967851972472324
95,24,1.62215370227252,3.5120091114107965,-1.8270453339799269,31.285342046153826
98,24,1.6140066510467586,3.50911052654104,-1.819052179250902,31.41096207271253
101,24,1.6760516154424623,3.516106699716392,-1.8693745969498121,30.755137125871208
103,24,1.649300642552199,3.519010068254593,-1.839770443871628,30.977446633931525
105,24,1.63238299185809,3.5124212742229295,-1.837963396328485,30.800512192698992
107,24,1.6164159719025777,3.50815215295169,-1.8296109578903785,30.616192795676138
110,24,1.6109028378249377,3.508648568515266,-1.8210831511954937,30.399839302766903
113,24,1.5954638693695657,3.5051993439595477,-1.8199201144788144,30.38386825126278
116,24,1.726707440085764,3.523165280193865,-1.8951156248467713,30.576239500422748
118,24,1.7165673917429753,3.527269876472835,-1.8867694858233446,30.705906284556665
120,24,1.6958235570934848,3.526762654741574,-1.8786631828974334,30.62583594950684
122,24,1.6777783190792557,3.523020179476104,-1.8704748023295987,30.597357068657974
124,24,1.6606586897774192,3.519792345798265,-1.8562833971202242,30.528493896066262
127,24,1.6664109274827466,3.5251014582287223,-1.8625354754370638,31.203754246103966
129,24,1.6468336174407805,3.518519199837846,-1.8606833274060013,31.172639449335037
131,24,1.6257639928779952,3.5190801794284594,-1.8383636766891702,30.96825922704022
133,24,1.6121577411874595,3.5114167272902406,-1.8436958588115397,30.821704306343133
135,24,1.6057366823755344,3.5108038681605738,-1.8362729789790888,30.765219721637393
140,24,1.673645314879889,3.51432611790755,-1.864690278795044,30.809988428281613
142,24,1.6404348572349936,3.5196664048265607,-1.8572649157581866,31.039033590700278
144,24,1.6132653317422077,3.512403849382274,-1.8483454421357695,31.04176453157222
146,24,1.5920964324686278,3.5077862234460104,-1.839168422289249,30.959784195511766
149,24,1.5866011820698824,3.5076596102713244,-1.8303326102702338,30.843513277103145
152,24,1.5800766490336253,3.5074833565874615,-1.829290599843924,30.797157400797865
154,24,1.5641732953289167,3.5023865933440717,-1.8278449003095165,30.984434580754094
156,24,1.555618272193922,3.503693493885047,-1.8188198987741453,30.967899275139946
158,24,1.5402045278637397,3.4989948462048113,-1.817194042260449,30.976616345195186
161,24,1.5321613015959863,3.495405576723954,-1.8157980815469454,30.89768961926806
164,24,1.5316232403693415,3.494528300232307,-1.822108117298183,30.81568822237933
166,24,1.5222595950771978,3.4962554827793926,-1.8129628028687814,30.726188079151118
168,24,1.5065267126851283,3.48769646191346,-1.8044876731207795,30.76818712651005
170,24,1.5014219556532926,3.486547580844067,-1.809986175960184,30.775415173787835
173,24,1.4963534117486457,3.482298183882304,-1.8090400456598725,30.761821976538275
176,24,1.5334262000312422,3.491819481711868,-1.8273691233501441,30.913721930762733
178,24,1.523845267514426,3.493995853241935,-1.8180385592622932,31.228215653165606
180,24,1.5011920994261239,3.484377015629623,-1.8085351614741645,31.261679783387308
182,24,1.492417671450291,3.4859116793558376,-1.8068041184926535,31.18408593575448
184,24,1.483323851940123,3.4842787539766786,-1.8050190987020625,31.001432353085377
187,24,1.4807376792294196,3.482988652120672,-1.8118563821702207,30.981374033120872
189,24,1.4735077809902477,3.483799876979844,-1.8021525551783737,31.088687926688607
191,24,1.46801928526661,3.4787540756450497,-1.8092953592546854,31.336420133762665
193,24,1.4580923557119019,3.4752194351784507,-1.8000309691416814,31.22599987103565
196,24,1.4478660988891399,3.470739535801023,-1.7981302589297092,31.037323488688802
199,24,1.4527808777541982,3.474600910003521,-1.8058248446047425,30.811349225731828
201,24,1.4425356364492432,3.4740521567700093,-1.795955865281378,30.932223179746046
203,24,1.4392712877203313,3.475075728648004,-1.7951057003644757,31.215527070380897
205,24,1.4286475681888218,3.472424307596416,-1.7940097981352856,31.400797084337558
208,24,1.4249026750004896,3.471751102262539,-1.7841592631620102,31.259213269721236
211,24,1.4698115324524124,3.4745407296058963,-1.8136320536623207,31.134701292957466
213,24,1.4525819651050202,3.471720060423485,-1.8109604460875317,31.246879695988095
215,24,1.442834198908794,3.471398409828823,-1.800802328247715,31.027558674438325
217,24,1.428376058807949,3.4626491088970703,-1.798647877727257,30.931917385258963
219,24,1.4154547844370715,3.466072725920186,-1.7804067367547436,30.667082236656018
222,24,1.454576670077708,3.4730670533412877,-1.8167125180994765,31.226789107710772
224,24,1.4283179548274056,3.4668548162926327,-1.7981268087177564,31.387733116648285
226,24,1.4197026883204058,3.46527367520258,-1.7964439222994821,31.505666838292886
228,24,1.4155606630306516,3.4638878223448684,-1.795371462470329,31.5462258449116
231,24,1.405680035419228,3.457807923440064,-1.7937175263130196,31.389977882297476
234,24,1.4084461071166137,3.459813554486507,-1.8014517734888207,31.385433749863733
236,24,1.3968547782872414,3.458027727779737,-1.7915215753378781,31.423707199142058
238,24,1.3935670371440676,3.4613996718507845,-1.7816941240706174,31.435368910968148
240,24,1.3893644292809475,3.4611285476693214,-1.7797379985412234,31.542375291159843
243,24,1.3785651415666713,3.455556822823358,-1.7856528650965158,31.52669677306915
246,24,1.384901110085747,3.459598362944341,-1.7784070647657095,31.435921914290372
248,24,1.3703251814242443,3.4506569891269216,-1.7778412667349817,31.475238112886494
250,24,1.3733464385229082,3.455515243082573,-1.7764462760420034,31.5817445550721
252,24,1.3679487285504814,3.455840338587253,-1.7752748972563315,31.647958536134297
255,24,1.3567141087089647,3.448678293668265,-1.7742013268724648,31.662032275252905
258,24,1.4604310209194575,3.474503178644755,-1.8196650877007408,30.434500875864142
260,24,1.4500998937104097,3.474031881945217,-1.8096836854216038,31.017997058077018
262,24,1.4381406901824496,3.474404210386772,-1.7993287687468955,31.39483761465523
264,24,1.4283681980964316,3.471767043833224,-1.7959419603883284,31.24511885640641
266,24,1.4147874517552432,3.4685305272975935,-1.7956017209600372,31.05306925187263
269,24,1.413889163393182,3.4651213646662598,-1.7929541659933774,30.88589263299331
